TIME,V16_kV,P_fleet_MW
2.4,235.22,6214.9
2.4002,235.21,6210.9
2.4004,235.21,6210.1
2.4006,235.25,6211.9
2.4008,235.34,6212.6
2.401,235.43,6211.4
2.4012,235.55,6208.8
2.4014,235.69,6204.9
2.4016,235.78,6201.3
2.4018,235.78,6199.7
2.402,235.72,6203
2.4022,235.62,6210.3
2.4024,235.47,6216.4
2.4026,235.3,6217.1
2.4028,235.26,6213.4
2.403,235.31,6207.5
2.4032,235.36,6204.6
2.4034,235.37,6209.5
2.4036,235.37,6215.4
2.4038,235.41,6217.6
2.404,235.48,6215.1
2.4042,235.6,6214
2.4044,235.76,6214.1
2.4046,235.87,6214.5
2.4048,235.88,6217
2.405,235.8,6221.6
2.4052,235.65,6225.8
2.4054,235.41,6227.8
2.4056,235.26,6229.1
2.4058,235.15,6228.8
2.406,235.12,6230.3
2.4062,235.2,6232.3
2.4064,235.35,6234.4
2.4066,235.5,6235.2
2.4068,235.69,6236.4
2.407,235.86,6238
2.4072,236.02,6239
2.4074,236.12,6239
2.4076,236.11,6239.8
2.4078,236,6243.9
2.408,235.83,6249.1
2.4082,235.75,6250.3
2.4084,235.82,6249.2
2.4086,235.85,6245
2.4088,235.83,6241.8
2.409,235.8,6238.6
2.4092,235.79,6235.8
2.4094,235.83,6238
2.4096,235.91,6244.2
2.4098,235.99,6246.6
2.41,236.05,6244.4
2.4102,236.06,6239.1
2.4104,235.97,6233.3
2.4106,235.85,6230.1
2.4108,235.68,6232.5
2.411,235.51,6236.6
2.4112,235.43,6241
2.4114,235.38,6244.4
2.4116,235.39,6245.3
2.4118,235.5,6241.5
2.412,235.68,6235.4
2.4122,235.85,6231.6
2.4124,235.94,6231
2.4126,235.96,6232.2
2.4128,235.94,6234.1
2.413,235.92,6234.2
2.4132,235.87,6232.7
2.4134,235.81,6231
2.4136,235.7,6228.2
2.4138,235.53,6226.6
2.414,235.4,6227.1
2.4142,235.37,6230.6
2.4144,235.4,6235.6
2.4146,235.48,6239
2.4148,235.6,6238.2
2.415,235.71,6234.1
2.4152,235.79,6230.4
2.4154,235.85,6230.9
2.4156,235.88,6235.5
2.4158,235.92,6241.4
2.416,235.95,6245.8
2.4162,235.92,6245
2.4164,235.83,6240.2
2.4166,235.66,6234.9
2.4168,235.47,6233.2
2.417,235.37,6234.7
2.4172,235.38,6237.5
2.4174,235.47,6239.6
2.4176,235.59,6237.6
2.4178,235.67,6233.6
2.418,235.73,6230.1
2.4182,235.77,6231.6
2.4184,235.78,6238.1
2.4186,235.83,6243.5
2.4188,235.85,6245.3
2.419,235.79,6243.1
2.4192,235.62,6240.9
2.4194,235.4,6240.1
2.4196,235.23,6241.5
2.4198,235.18,6244.4
2.42,235.34,6244.5
2.4202,235.57,6242.6
2.4204,235.77,6240.7
2.4206,235.87,6241.1
2.4208,235.84,6245.4
2.421,235.77,6249.4
2.4212,235.75,6251
2.4214,235.81,6248.4
2.4216,235.89,6248.6
2.4218,235.89,6254
2.422,235.85,6258.9
2.4222,235.69,6259.4
2.4224,235.59,6256.5
2.4226,235.51,6251.1
2.4228,235.44,6247.1
2.423,235.4,6248.4
2.4232,235.45,6253.9
2.4234,235.6,6258.8
2.4236,235.8,6261.1
2.4238,236.05,6258.5
2.424,236.16,6253
2.4242,236.08,6250.1
2.4244,235.85,6251.1
2.4246,235.57,6255.7
2.4248,235.29,6261.3
2.425,235.13,6265.9
2.4252,235.11,6265
2.4254,235.21,6262.2
2.4256,235.36,6260.3
2.4258,235.51,6260
2.426,235.61,6260.5
2.4262,235.67,6262.2
2.4264,235.69,6263.7
2.4266,235.74,6263.9
2.4268,235.82,6265.1
2.427,235.88,6265.9
2.4272,235.86,6266
2.4274,235.75,6265.1
2.4276,235.56,6263
2.4278,235.39,6264
2.428,235.27,6269.6
2.4282,235.25,6273.6
2.4284,235.33,6272.5
2.4286,235.45,6266.9
2.4288,235.6,6261.8
2.429,235.74,6258.7
2.4292,235.82,6258.7
2.4294,235.84,6260.6
2.4296,235.85,6262.7
2.4298,235.87,6263.9
2.43,235.84,6263.1
2.4302,235.73,6259.3
2.4304,235.54,6256.1
2.4306,235.29,6254
2.4308,235.12,6255.1
2.431,235.14,6256.3
2.4312,235.29,6255.9
2.4314,235.5,6254
2.4316,235.69,6251.6
2.4318,235.79,6250.2
2.432,235.8,6247.9
2.4322,235.81,6245.8
2.4324,235.81,6247.3
2.4326,235.83,6247.9
2.4328,235.77,6249.2
2.433,235.66,6252
2.4332,235.57,6252.2
2.4334,235.52,6249.1
2.4336,235.47,6245.1
2.4338,235.36,6242.5
2.434,235.28,6242.9
2.4342,235.28,6244.9
2.4344,235.36,6245.7
2.4346,235.51,6243.6
2.4348,235.65,6239.8
2.435,235.74,6238.1
2.4352,235.76,6239.7
2.4354,235.7,6243.4
2.4356,235.62,6245.8
2.4358,235.55,6245
2.436,235.48,6241.4
2.4362,235.45,6238.1
2.4364,235.42,6237
2.4366,235.36,6237.7
2.4368,235.34,6240.4
2.437,235.38,6241.7
2.4372,235.48,6240.9
2.4374,235.63,6240.2
2.4376,235.75,6241.1
2.4378,235.83,6246.2
2.438,235.85,6253.2
2.4382,235.83,6259.1
2.4384,235.74,6260.1
2.4386,235.62,6258.4
2.4388,235.47,6256.8
2.439,235.35,6254.9
2.4392,235.28,6255.8
2.4394,235.3,6258.6
2.4396,235.39,6261
2.4398,235.46,6260.9
2.44,235.55,6258.4
2.4402,235.65,6256.7
2.4404,235.73,6258.6
2.4406,235.82,6262.4
2.4408,235.85,6266.8
2.441,235.83,6269.1
2.4412,235.76,6270.5
2.4414,235.65,6271.7
2.4416,235.44,6273.3
2.4418,235.3,6272.4
2.442,235.32,6269.4
2.4422,235.44,6264.5
2.4424,235.55,6260.3
2.4426,235.59,6260.5
2.4428,235.62,6268.6
2.443,235.62,6277.8
2.4432,235.68,6280
2.4434,235.86,6274.8
2.4436,236.04,6268.2
2.4438,236.1,6262.1
2.444,235.97,6260.3
2.4442,235.61,6263.7
2.4444,235.24,6271.3
2.4446,235.08,6278.9
2.4448,235.2,6281.4
2.445,235.47,6278.5
2.4452,235.72,6270.9
2.4454,235.82,6263
2.4456,235.78,6259.6
2.4458,235.72,6260.3
2.446,235.72,6263.4
2.4462,235.81,6264.8
2.4464,235.92,6264.8
2.4466,235.97,6262.4
2.4468,235.91,6259
2.447,235.72,6256.2
2.4472,235.53,6256
2.4474,235.41,6256.8
2.4476,235.39,6257.2
2.4478,235.41,6257
2.448,235.47,6255.5
2.4482,235.58,6252.3
2.4484,235.69,6250.2
2.4486,235.78,6248.4
2.4488,235.86,6247
2.449,235.89,6247.1
2.4492,235.9,6247.8
2.4494,235.85,6249
2.4496,235.76,6248.8
2.4498,235.64,6246.4
2.45,235.52,6243.9
2.4502,235.42,6242.9
2.4504,235.4,6244.8
2.4506,235.41,6248.6
2.4508,235.48,6249.9
2.451,235.6,6248.1
2.4512,235.69,6244.7
2.4514,235.78,6241.8
2.4516,235.88,6240
2.4518,235.96,6242
2.452,236.02,6246.7
2.4522,235.97,6250.6
2.4524,235.84,6250.3
2.4526,235.64,6247.7
2.4528,235.47,6244.4
2.453,235.37,6241.4
2.4532,235.35,6240.8
2.4534,235.42,6243.4
2.4536,235.52,6245.9
2.4538,235.62,6247.4
2.454,235.73,6247.1
2.4542,235.83,6248.4
2.4544,235.96,6249.3
2.4546,236.04,6250
2.4548,236.08,6251
2.455,236.04,6255.7
2.4552,235.9,6261.5
2.4554,235.69,6264.2
2.4556,235.61,6266.5
2.4558,235.64,6265.9
2.456,235.78,6261.6
2.4562,235.93,6259
2.4564,236,6260.2
2.4566,236.06,6264.1
2.4568,236.16,6269.8
2.457,236.28,6278
2.4572,236.38,6280.9
2.4574,236.5,6275.9
2.4576,236.58,6269.6
2.4578,236.51,6268.8
2.458,236.27,6270.9
2.4582,236.02,6273.1
2.4584,235.87,6274.2
2.4586,235.84,6270.6
2.4588,235.85,6266.6
2.459,235.87,6266
2.4592,235.92,6266.9
2.4594,235.92,6265.8
2.4596,235.92,6263.4
2.4598,235.94,6264.7
2.46,236,6269
2.4602,236.17,6273.6
2.4604,236.32,6276.3
2.4606,236.37,6275.3
2.4608,236.26,6271.2
2.461,236,6267.2
2.4612,235.8,6267.2
2.4614,235.76,6272.4
2.4616,235.82,6277.6
2.4618,235.96,6276.9
2.462,236.13,6269
2.4622,236.21,6259.6
2.4624,236.26,6255.6
2.4626,236.31,6256.6
2.4628,236.34,6262.5
2.463,236.36,6267.7
2.4632,236.37,6269.3
2.4634,236.34,6265.4
2.4636,236.26,6260.4
2.4638,236.08,6257.5
2.464,235.95,6255.8
2.4642,235.87,6254.5
2.4644,235.84,6255.9
2.4646,235.87,6257
2.4648,235.94,6256.3
2.465,236.06,6253.7
2.4652,236.21,6250.3
2.4654,236.28,6247.4
2.4656,236.33,6245.8
2.4658,236.32,6245.8
2.466,236.23,6246.1
2.4662,236.08,6246.7
2.4664,235.96,6246.1
2.4666,235.77,6245.3
2.4668,235.63,6245.4
2.467,235.62,6244.3
2.4672,235.66,6242.8
2.4674,235.72,6241.6
2.4676,235.82,6240.8
2.4678,235.9,6239.5
2.468,235.98,6237.8
2.4682,236.07,6236.5
2.4684,236.16,6237.2
2.4686,236.24,6239.8
2.4688,236.23,6242.5
2.469,236.11,6243.2
2.4692,235.93,6241
2.4694,235.79,6237.7
2.4696,235.68,6235.7
2.4698,235.61,6235.2
2.47,235.58,6237.2
2.4702,235.64,6240.6
2.4704,235.75,6244.8
2.4706,235.88,6246.6
2.4708,236.05,6247.1
2.471,236.22,6249.6
2.4712,236.33,6251.6
2.4714,236.38,6251.6
2.4716,236.41,6251.7
2.4718,236.36,6253.6
2.472,236.23,6254.6
2.4722,236.12,6254.3
2.4724,236.05,6251.7
2.4726,235.97,6248.3
2.4728,235.91,6244.7
2.473,235.86,6243
2.4732,235.88,6243.9
2.4734,235.97,6245.4
2.4736,236.11,6245.1
2.4738,236.25,6246.4
2.474,236.35,6245.5
2.4742,236.29,6242.7
2.4744,236.13,6241.1
2.4746,235.9,6245.7
2.4748,235.65,6255.1
2.475,235.57,6260
2.4752,235.59,6258.1
2.4754,235.63,6252.8
