TIME,B32Irms,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9,1.70701,0.628745,0.647817,0.622694,0.616369,0.623686,0.638824,0.704703,0.660676,0.668825,0.670924
2.9002,1.70655,0.627944,0.646407,0.623098,0.615548,0.62264,0.638753,0.702591,0.660859,0.667916,0.670865
2.9004,1.70489,0.627175,0.645084,0.623485,0.615261,0.621688,0.638705,0.701181,0.660693,0.668034,0.669749
2.9006,1.70329,0.626837,0.6446,0.623737,0.615294,0.621228,0.638763,0.701377,0.660783,0.668673,0.668411
2.9008,1.70263,0.627064,0.644715,0.623589,0.615723,0.621451,0.638868,0.703188,0.661329,0.669846,0.667746
2.901,1.70281,0.627604,0.64455,0.622998,0.616578,0.621755,0.638499,0.704772,0.661979,0.671019,0.667791
2.9012,1.70316,0.627936,0.644197,0.62235,0.617421,0.622141,0.637708,0.704648,0.662514,0.67145,0.668175
2.9014,1.7026,0.628273,0.643941,0.622146,0.617705,0.62213,0.636476,0.703191,0.662954,0.670933,0.667978
2.9016,1.70118,0.628531,0.643894,0.622533,0.617527,0.621095,0.635531,0.701587,0.663505,0.669936,0.667079
2.9018,1.69949,0.628488,0.644111,0.623255,0.617221,0.619073,0.635514,0.70073,0.663947,0.669245,0.665733
2.902,1.69891,0.628305,0.644559,0.623855,0.617268,0.617334,0.636059,0.701476,0.664591,0.669463,0.665119
2.9022,1.69903,0.628007,0.645483,0.624086,0.618007,0.61674,0.636238,0.701776,0.665343,0.670493,0.665167
2.9024,1.69964,0.627991,0.646416,0.623796,0.619218,0.617562,0.63577,0.700472,0.666343,0.671697,0.66568
2.9026,1.6995,0.628024,0.647037,0.623645,0.620053,0.618601,0.634794,0.698511,0.667214,0.672498,0.665873
2.9028,1.69782,0.62844,0.647835,0.624133,0.620534,0.618634,0.633809,0.698551,0.668187,0.672621,0.664924
2.903,1.69509,0.629722,0.648461,0.625102,0.620564,0.617358,0.632928,0.699889,0.668783,0.672065,0.662974
2.9032,1.69267,0.63148,0.648638,0.625858,0.620503,0.615291,0.632728,0.702061,0.668996,0.671075,0.660996
2.9034,1.69168,0.632649,0.648446,0.625786,0.620626,0.613719,0.632991,0.701886,0.6696,0.670159,0.66003
2.9036,1.6919,0.632267,0.648305,0.625151,0.621241,0.613331,0.633171,0.698846,0.670333,0.669478,0.660126
2.9038,1.69273,0.63094,0.648485,0.624263,0.621865,0.614116,0.632927,0.696766,0.670711,0.669542,0.660818
2.904,1.69333,0.630006,0.649296,0.624117,0.622369,0.61519,0.632397,0.696795,0.670457,0.670318,0.661496
2.9042,1.69325,0.629963,0.650284,0.625077,0.622413,0.615717,0.63191,0.699668,0.669444,0.67104,0.661658
2.9044,1.69276,0.631172,0.651241,0.626328,0.622787,0.615457,0.631746,0.701883,0.668581,0.670759,0.66143
2.9046,1.6922,0.632761,0.651477,0.627219,0.623344,0.61475,0.632038,0.701398,0.66896,0.669414,0.661064
2.9048,1.69205,0.633356,0.651104,0.62742,0.623704,0.614121,0.632663,0.699083,0.670365,0.667584,0.660939
2.905,1.69249,0.632488,0.650449,0.626949,0.623839,0.614171,0.633346,0.697493,0.671507,0.666052,0.661273
2.9052,1.69325,0.631395,0.650212,0.626485,0.62401,0.615336,0.633879,0.697231,0.671376,0.665002,0.661932
2.9054,1.69382,0.631115,0.650515,0.626567,0.62422,0.616911,0.63419,0.698079,0.670283,0.664516,0.662539
2.9056,1.69388,0.631618,0.651519,0.627179,0.624564,0.617651,0.634369,0.699212,0.668768,0.664453,0.662788
2.9058,1.69356,0.632986,0.65244,0.627751,0.624717,0.617402,0.634449,0.699422,0.66799,0.664541,0.662618
2.906,1.69375,0.634015,0.652785,0.627708,0.62418,0.616871,0.634763,0.698645,0.667865,0.664061,0.662683
2.9062,1.69534,0.633986,0.651988,0.62692,0.623403,0.616527,0.635769,0.697418,0.667789,0.662819,0.663714
2.9064,1.69755,0.634351,0.650358,0.625847,0.62316,0.616468,0.636963,0.69798,0.667734,0.661828,0.665487
2.9066,1.69956,0.635025,0.649622,0.625638,0.623729,0.617184,0.637648,0.698692,0.6678,0.661128,0.667198
2.9068,1.70041,0.634967,0.650829,0.626584,0.62501,0.618356,0.637509,0.698619,0.667735,0.661617,0.668166
2.907,1.70044,0.634252,0.652553,0.628222,0.626216,0.619102,0.636806,0.698855,0.667946,0.663293,0.668252
2.9072,1.70087,0.633444,0.652582,0.629127,0.626787,0.619191,0.636228,0.698607,0.668367,0.664906,0.668495
2.9074,1.70179,0.632942,0.6503,0.628926,0.626535,0.618731,0.636292,0.697039,0.669585,0.6653,0.669129
