TIME,B32Vrms
2.5,225.777
2.505,225.909
2.51,227.581
2.515,227.948
2.52,227.464
2.525,226.93
2.53,227.465
2.535,227.326
2.54,228.005
2.545,228.692
2.55,226.982
2.555,226.23
2.56,226.106
2.565,225.343
2.57,225.165
2.575,225.124
2.58,225.413
2.585,225.435
2.59,225.087
2.595,226.929
2.6,226.056
2.605,225.044
2.61,226.062
2.615,226.18
2.62,225.583
2.625,224.067
2.63,225.159
2.635,224.339
2.64,223.938
2.645,224.411
2.65,225.033
2.655,224.897
2.66,226.143
2.665,226.654
2.67,225.314
2.675,225.06
2.68,225.165
2.685,225.304
2.69,225.479
2.695,226.81
2.7,225.376
2.705,225.774
2.71,226.334
2.715,225.69
2.72,225.474
2.725,224.796
2.73,223.807
2.735,224.481
2.74,223.987
2.745,224.271
2.75,222.954
2.755,223.617
2.76,224.832
2.765,225.178
2.77,225.725
2.775,225.56
2.78,227.855
2.785,227.691
2.79,227.692
2.795,227.257
2.8,226.58
2.805,226.506
2.81,227.12
2.815,226.312
2.82,226.085
2.825,226.948
2.83,226.756
2.835,227.528
2.84,227.135
2.845,227.317
2.85,227.654
2.855,226.649
2.86,226.596
2.865,227.304
2.87,226.826
2.875,224.734
2.88,226.87
2.885,228.342
2.89,228.376
2.895,227.434
2.9,226.587
2.905,226.156
2.91,226.89
2.915,227.061
2.92,226.844
2.925,226.847
2.93,225.79
2.935,225.685
2.94,226.086
2.945,226.109
2.95,225.618
2.955,225.694
2.96,225.195
2.965,224.731
2.97,224.904
2.975,224.237
2.98,225.16
2.985,224.853
2.99,225.355
2.995,225.679
3,223.975
3.005,197.221
3.01,173.211
3.015,156.755
3.02,139.574
3.025,126.023
3.03,116.448
3.035,108.039
3.04,101.158
3.045,95.4765
3.05,91.8737
3.055,87.9991
3.06,85.4433
3.065,83.5115
3.07,82.2845
3.075,80.2269
3.08,79.3889
3.085,79.6331
3.09,94.7462
3.095,108.262
3.1,117.608
3.105,126.547
3.11,133.733
3.115,139.722
3.12,144.105
3.125,148.925
3.13,151.727
3.135,154.686
3.14,156.496
3.145,159.364
3.15,161.407
3.155,163.448
3.16,165.734
3.165,167.519
3.17,169.022
3.175,169.584
3.18,170.084
3.185,171.636
3.19,172.118
3.195,173.674
3.2,173.983
3.205,175.037
3.21,176.041
3.215,176.396
3.22,178.5
3.225,179.432
3.23,179.689
3.235,181.999
3.24,182.418
3.245,184.419
3.25,185.147
3.255,185.174
3.26,186.981
3.265,187.325
3.27,189.568
3.275,190.636
3.28,190.704
3.285,193.167
3.29,194.461
3.295,194.411
3.3,195.419
3.305,197.155
3.31,198.405
3.315,199.739
3.32,199.435
3.325,200.527
3.33,199.063
3.335,202.222
3.34,203.213
3.345,204.463
3.35,203.963
3.355,203.558
3.36,204.269
3.365,205.622
3.37,207.335
3.375,207.481
3.38,208.787
3.385,208.685
3.39,209.871
3.395,209.958
3.4,210.098
3.405,210.075
3.41,211.778
3.415,211.967
3.42,211.713
3.425,212.581
3.43,211.26
3.435,212.933
3.44,214.561
3.445,214.664
3.45,215.288
3.455,214.753
3.46,217.818
3.465,219.941
3.47,218.713
3.475,217.098
3.48,216.922
3.485,217.988
3.49,218.093
3.495,218.213
3.5,217.077
3.505,217.263
3.51,218.546
3.515,218.022
3.52,218.313
3.525,219.029
3.53,219.25
3.535,219.868
3.54,219.161
3.545,220.005
3.55,219.41
3.555,218.608
3.56,219.112
3.565,220.892
3.57,221.486
3.575,222.101
3.58,222.14
3.585,222.593
3.59,223.247
3.595,222.569
3.6,222.578
3.605,221.974
3.61,222.285
3.615,222.558
3.62,222.766
3.625,222.504
3.63,222.788
3.635,222.429
3.64,222.827
3.645,223.752
3.65,224.338
3.655,222.894
3.66,224.366
3.665,222.99
3.67,222.302
3.675,222.081
3.68,220.938
3.685,221.438
3.69,221.747
3.695,223.686
3.7,223.804
3.705,222.899
3.71,223.16
3.715,224.594
3.72,223.442
3.725,223.954
3.73,223.657
3.735,224.532
3.74,224.873
3.745,224.307
3.75,224.656
3.755,223.489
3.76,224.039
3.765,225.209
3.77,223.946
3.775,224.05
3.78,223.604
3.785,223.895
3.79,222.299
3.795,224.328
3.8,224.224
3.805,225.189
3.81,226.069
3.815,225.683
3.82,224.988
3.825,226.582
3.83,224.434
3.835,224.469
3.84,225.263
3.845,223.56
3.85,223.942
3.855,223.096
3.86,223.86
3.865,222.935
3.87,222.839
3.875,224.08
3.88,224.442
3.885,224.391
3.89,223.98
3.895,225.049
3.9,227.362
3.905,225.566
3.91,226.622
3.915,225.415
3.92,224.726
3.925,223.92
3.93,223.882
3.935,223.429
3.94,223.022
3.945,224.879
3.95,224.131
3.955,224.079
3.96,225.141
3.965,224.893
3.97,225.547
3.975,224.322
3.98,223.255
3.985,223.9
3.99,223.721
3.995,223.372
4,222.94
4.005,223.096
4.01,224.206
4.015,223.896
4.02,223.779
4.025,224.145
4.03,225.002
4.035,224.503
4.04,224.591
4.045,224.269
4.05,224.319
4.055,225.517
4.06,225.724
4.065,224.623
4.07,224.625
4.075,224.947
4.08,224.52
4.085,223.983
4.09,223.69
4.095,222.784
4.1,223.288
4.105,222.395
4.11,223.129
4.115,222.253
4.12,222.747
4.125,224.445
4.13,224.608
4.135,224.467
4.14,224.275
4.145,222.403
4.15,225.335
4.155,223.919
4.16,224.96
4.165,226.828
4.17,228.498
4.175,227.304
4.18,228.174
4.185,226.466
4.19,225.104
4.195,224.712
4.2,223.841
4.205,223.331
4.21,223.901
4.215,224.117
4.22,223.119
4.225,223.282
4.23,222.753
4.235,223.321
4.24,223.922
4.245,222.654
4.25,222.436
4.255,222.426
4.26,223.53
4.265,222.388
4.27,222.313
4.275,222.669
4.28,224.131
4.285,224.079
4.29,224.419
4.295,223.869
4.3,223.395
4.305,223.809
4.31,225.193
4.315,225.22
4.32,227.021
4.325,226.018
4.33,226.155
4.335,226.549
4.34,226.891
4.345,226.594
4.35,226.153
4.355,225.238
4.36,226.037
4.365,225.356
4.37,226.042
4.375,226.613
4.38,226.305
4.385,226.657
4.39,226.516
4.395,226.139
4.4,225.494
4.405,225.057
4.41,225.211
4.415,224.487
4.42,224.985
4.425,224.516
4.43,225.664
4.435,226.159
4.44,225.342
4.445,224.84
4.45,225.269
4.455,224.51
4.46,224.591
4.465,224.738
4.47,224.973
4.475,224.592
4.48,223.989
4.485,224.223
4.49,224.219
4.495,224.115
4.5,223.901
4.505,223.922
4.51,224.001
4.515,224.712
4.52,224.793
4.525,223.439
4.53,225.405
4.535,225.527
4.54,225.594
4.545,228.745
4.55,228.045
4.555,227.2
4.56,226.164
4.565,225.835
4.57,225.644
4.575,225.242
4.58,224.711
4.585,225.316
4.59,226.046
4.595,225.22
4.6,225.524
4.605,224.499
4.61,225.355
4.615,225.027
4.62,225.752
4.625,226.515
4.63,225.065
4.635,225.384
4.64,225.605
4.645,223.514
4.65,225.914
4.655,225.591
4.66,225.585
4.665,226.022
4.67,225.364
4.675,224.212
4.68,224.663
4.685,224.604
4.69,223.786
4.695,224.752
4.7,224.671
4.705,224.559
4.71,225.2
4.715,225.324
4.72,225.146
4.725,224.874
4.73,224.718
4.735,224.87
4.74,225.03
4.745,225.804
4.75,225.462
4.755,224.574
4.76,225.639
4.765,227.297
4.77,227.033
4.775,225.683
4.78,225.783
4.785,225.067
4.79,226.103
4.795,226.207
4.8,225.125
4.805,225.935
4.81,226.549
4.815,225.979
4.82,226.281
4.825,225.593
4.83,226.249
4.835,225.678
4.84,225.907
4.845,225.443
4.85,226.131
4.855,225.636
4.86,225.37
4.865,225.119
4.87,224.916
4.875,224.325
4.88,223.425
4.885,227.901
4.89,227.543
4.895,227.068
4.9,228.368
4.905,228.503
4.91,227.544
4.915,226.375
4.92,225.58
4.925,224.852
4.93,226.399
4.935,225.726
4.94,225.68
4.945,224.178
4.95,224.587
4.955,223.389
4.96,223.419
4.965,224.451
4.97,224.407
4.975,225.054
4.98,224.855
4.985,225.879
4.99,225.683
4.995,223.54
5,227.234
5.005,227.516
5.01,225.267
