TIME,B32Vrms
2.5,225.777
2.505,225.909
2.51,227.581
2.515,227.948
2.52,227.464
2.525,226.93
2.53,227.465
2.535,227.326
2.54,228.005
2.545,228.692
2.55,226.982
2.555,226.23
2.56,226.106
2.565,225.343
2.57,225.165
2.575,225.124
2.58,225.413
2.585,225.435
2.59,225.087
2.595,226.929
2.6,226.056
2.605,225.044
2.61,226.062
2.615,226.18
2.62,225.583
2.625,224.067
2.63,225.159
2.635,224.339
2.64,223.938
2.645,224.411
2.65,225.033
2.655,224.897
2.66,226.143
2.665,226.654
2.67,225.314
2.675,225.06
2.68,225.165
2.685,225.304
2.69,225.479
2.695,226.81
2.7,225.376
2.705,225.774
2.71,226.334
2.715,225.69
2.72,225.474
2.725,224.796
2.73,223.807
2.735,224.481
2.74,223.987
2.745,224.271
2.75,222.954
2.755,223.617
2.76,224.832
2.765,225.178
2.77,225.725
2.775,225.56
2.78,227.855
2.785,227.691
2.79,227.692
2.795,227.257
2.8,226.58
2.805,226.506
2.81,227.12
2.815,226.312
2.82,226.085
2.825,226.948
2.83,226.756
2.835,227.528
2.84,227.135
2.845,227.317
2.85,227.654
2.855,226.649
2.86,226.596
2.865,227.304
2.87,226.826
2.875,224.734
2.88,226.87
2.885,228.342
2.89,228.376
2.895,227.434
2.9,226.587
2.905,226.156
2.91,226.89
2.915,227.061
2.92,226.844
2.925,226.847
2.93,225.79
2.935,225.685
2.94,226.086
2.945,226.109
2.95,225.618
2.955,225.694
2.96,225.195
2.965,224.731
2.97,224.904
2.975,224.237
2.98,225.16
2.985,224.853
2.99,225.355
2.995,225.679
3,223.975
3.005,197.499
3.01,179.088
3.015,163.301
3.02,147.973
3.025,134.742
3.03,124.551
3.035,115.02
3.04,106.545
3.045,99.6912
3.05,93.6032
3.055,88.9094
3.06,84.0815
3.065,80.6927
3.07,77.971
3.075,75.1644
3.08,73.4538
3.085,72.7165
3.09,82.1745
3.095,96.0534
3.1,106.648
3.105,114.992
3.11,122.821
3.115,128.287
3.12,133.018
3.125,137.734
3.13,141.553
3.135,144.838
3.14,146.821
3.145,148.819
3.15,151.397
3.155,153.072
3.16,155.485
3.165,156.787
3.17,159.805
3.175,162.241
3.18,162.555
3.185,164.18
3.19,165.759
3.195,166.732
3.2,169.547
3.205,169.833
3.21,170.578
3.215,170.776
3.22,171.417
3.225,172.39
3.23,174.896
3.235,176.927
3.24,178.512
3.245,178.668
3.25,179.389
3.255,180.831
3.26,181.289
3.265,182.787
3.27,184.217
3.275,186.445
3.28,186.445
3.285,187.673
3.29,189.268
3.295,188.93
3.3,189.704
3.305,189.696
3.31,190.425
3.315,191.408
3.32,192.053
3.325,192.581
3.33,192.904
3.335,193.885
3.34,195.204
3.345,197.604
3.35,196.856
3.355,198.176
3.36,200.044
3.365,201.519
3.37,201.566
3.375,201.376
3.38,201.717
3.385,201.994
3.39,202.032
3.395,204.004
3.4,205.934
3.405,206.69
3.41,206.618
3.415,207.514
3.42,207.448
3.425,207.671
3.43,206.968
3.435,208.362
3.44,210.898
3.445,212.375
3.45,212.942
3.455,211.928
3.46,212.779
3.465,212.992
3.47,212.565
3.475,212.737
3.48,212.456
3.485,212.339
3.49,213.153
3.495,213.696
3.5,214.199
3.505,213.97
3.51,214.738
3.515,215.481
3.52,217.106
3.525,217.348
3.53,218.351
3.535,218.099
3.54,216.355
3.545,218.037
3.55,216.528
3.555,216.586
3.56,218.024
3.565,217.937
3.57,217.347
3.575,219.029
3.58,218.056
3.585,218.359
3.59,218.775
3.595,218.632
3.6,218.75
3.605,218.241
3.61,220.874
3.615,219.786
3.62,219.873
3.625,219.824
3.63,219.635
3.635,220.98
3.64,221.233
3.645,222.947
3.65,222.521
3.655,221.657
3.66,222.351
3.665,221.643
3.67,221.283
3.675,222.649
3.68,224.565
3.685,225.31
3.69,223.451
3.695,223.123
3.7,224.381
3.705,223.789
3.71,225.308
3.715,224.058
3.72,223.304
3.725,222.909
3.73,223.024
3.735,222.181
3.74,222.177
3.745,221.496
3.75,221.262
3.755,221.653
3.76,221.867
3.765,222.649
3.77,222.444
3.775,223.064
3.78,222.513
3.785,223.304
3.79,222.631
3.795,221.239
3.8,222.404
3.805,220.934
3.81,221.497
3.815,221.57
3.82,221.346
3.825,222.351
3.83,224.972
3.835,223.788
3.84,224.293
3.845,223.923
3.85,223.626
3.855,222.547
3.86,224.067
3.865,225.183
3.87,224.607
3.875,223.204
3.88,222.596
3.885,223.818
3.89,224.192
3.895,224.439
3.9,224.611
3.905,222.993
3.91,224.209
3.915,224.177
3.92,223.081
3.925,222.976
3.93,222.544
3.935,222.226
3.94,222.653
3.945,223.063
3.95,223.946
3.955,225.582
3.96,225.518
3.965,224.54
3.97,224.562
3.975,224.614
3.98,223.614
3.985,224.92
3.99,224.688
3.995,224.394
4,224.26
4.005,223.162
4.01,224.41
4.015,223.958
4.02,223.718
4.025,224.776
4.03,224.395
4.035,223.592
4.04,224.054
4.045,224.012
4.05,224.916
4.055,224.079
4.06,224.655
4.065,225.066
4.07,225.306
4.075,225.092
4.08,223.148
4.085,223.927
4.09,224.771
4.095,224.436
4.1,224.818
4.105,225.281
4.11,226.609
4.115,226.073
4.12,226.196
4.125,226.351
4.13,228.135
4.135,227.551
4.14,226.741
4.145,226.681
4.15,226.982
4.155,225.676
4.16,226.2
4.165,226.21
4.17,226.262
4.175,226.196
4.18,225.344
4.185,225.091
4.19,224.681
4.195,225.207
4.2,224.935
4.205,224.187
4.21,225.323
4.215,225.236
4.22,224.821
4.225,225.384
4.23,224.631
4.235,224.377
4.24,224.861
4.245,224.707
4.25,225.575
4.255,223.422
4.26,226.143
4.265,226.885
4.27,226.545
4.275,226.038
4.28,225.576
4.285,225.811
4.29,225.709
4.295,225.142
4.3,226.406
4.305,226.014
4.31,226.056
4.315,226.655
4.32,226.385
4.325,225.702
4.33,225.034
4.335,225.191
4.34,225.032
4.345,223.87
4.35,224.158
4.355,223.927
4.36,224.124
4.365,223.653
4.37,223.526
4.375,223.79
4.38,223.409
4.385,223.462
4.39,223.555
4.395,225.045
4.4,225.081
4.405,224.223
4.41,225.425
4.415,226.102
4.42,225.71
4.425,225.866
4.43,225.886
4.435,226.759
4.44,226.926
4.445,227.186
4.45,225.738
4.455,224.463
4.46,225.562
4.465,227.395
4.47,225.673
4.475,226.404
4.48,225.803
4.485,226.623
4.49,226.837
4.495,227.227
4.5,226.616
4.505,225.944
4.51,225.875
4.515,224.849
4.52,224.315
4.525,223.576
4.53,223.334
4.535,223.29
4.54,222.651
4.545,223.273
4.55,222.746
4.555,223.151
4.56,223.322
4.565,224.103
4.57,224.132
4.575,223.037
4.58,223.765
4.585,223.733
4.59,223.971
4.595,223.912
4.6,222.716
4.605,224.082
4.61,223.869
4.615,225.366
4.62,226.101
4.625,225.349
4.63,225.617
4.635,224.757
4.64,223.975
4.645,224.701
4.65,223.999
4.655,223.275
4.66,224.813
4.665,225.404
4.67,224.574
4.675,224.202
4.68,223.184
4.685,223.303
4.69,222.797
4.695,223.914
4.7,222.952
4.705,222.83
4.71,223.634
4.715,223.947
4.72,224.111
4.725,225.127
4.73,224.01
4.735,224.839
4.74,225.32
4.745,225.5
4.75,226.714
4.755,224.901
4.76,224.413
4.765,224.423
4.77,224.094
4.775,222.555
4.78,223.288
4.785,224.41
4.79,225.134
4.795,225.214
4.8,226.487
4.805,226.772
4.81,226.906
4.815,227.112
4.82,226.656
4.825,225.69
4.83,225.123
4.835,228.471
4.84,227.444
4.845,225.577
4.85,226.828
4.855,226.067
4.86,227.35
4.865,225.386
4.87,224.551
4.875,224.442
4.88,224.243
4.885,223.563
4.89,223.442
4.895,225.036
4.9,225.225
4.905,224.816
4.91,225.036
4.915,224.857
4.92,225.07
4.925,223.775
4.93,223.351
4.935,224.757
4.94,225.322
4.945,224.542
4.95,226.573
4.955,226.99
4.96,227.079
4.965,226.356
4.97,225.583
4.975,224.859
4.98,224.085
4.985,224.638
4.99,223.655
4.995,223.771
5,222.86
5.005,223.139
5.01,223.658
