TIME,P_G30,P_G31,P_G32,P_G33,P_G34,P_G35,P_G36,P_G37,P_G38,P_G39
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0002,0.0003,0.0004,0.0051
0.0004,0.0035,0.0032,0.0032,0.0034,0.0031,0.0039,0.0023,0.0028,0.0041,0.0279
0.0006,0.0120,0.0116,0.0111,0.0110,0.0100,0.0124,0.0074,0.0093,0.0140,0.0692
0.0008,0.0271,0.0279,0.0265,0.0253,0.0219,0.0267,0.0159,0.0209,0.0318,0.1289
0.0010,0.0489,0.0534,0.0510,0.0466,0.0394,0.0477,0.0283,0.0384,0.0587,0.2022
0.0012,0.0745,0.0878,0.0846,0.0747,0.0625,0.0770,0.0453,0.0610,0.0951,0.2751
0.0014,0.1048,0.1306,0.1267,0.1104,0.0913,0.1133,0.0663,0.0877,0.1401,0.3514
0.0016,0.1387,0.1802,0.1761,0.1527,0.1258,0.1556,0.0909,0.1177,0.1918,0.4325
0.0018,0.1761,0.2349,0.2314,0.2003,0.1654,0.2034,0.1189,0.1512,0.2493,0.5414
0.0020,0.2181,0.2939,0.2920,0.2544,0.2101,0.2569,0.1503,0.1892,0.3115,0.6805
0.0022,0.2645,0.3565,0.3572,0.3141,0.2598,0.3161,0.1852,0.2310,0.3762,0.8385
0.0024,0.3141,0.4229,0.4276,0.3785,0.3141,0.3802,0.2233,0.2765,0.4435,1.0053
0.0026,0.3661,0.4938,0.5040,0.4491,0.3732,0.4489,0.2646,0.3257,0.5157,1.1776
0.0028,0.4178,0.5697,0.5870,0.5253,0.4372,0.5229,0.3095,0.3782,0.5939,1.3439
0.0030,0.4692,0.6512,0.6772,0.6073,0.5058,0.6027,0.3583,0.4337,0.6792,1.5038
0.0032,0.5227,0.7388,0.7753,0.6963,0.5794,0.6885,0.4114,0.4931,0.7723,1.6693
0.0034,0.5792,0.8327,0.8814,0.7916,0.6579,0.7805,0.4689,0.5577,0.8736,1.8490
0.0036,0.6392,0.9332,0.9956,0.8936,0.7414,0.8789,0.5311,0.6280,0.9829,2.0497
0.0038,0.7026,1.0404,1.1183,1.0027,0.8299,0.9836,0.5981,0.7034,1.1001,2.2680
0.0040,0.7688,1.1543,1.2495,1.1186,0.9232,1.0947,0.6701,0.7839,1.2252,2.4978
