! Seconds	Volt	Angle	Freq	Tie_P	Tie_Q
0	142.797	96.892	60.007	100	-4.988530571
0.033	142.802	96.973	60.007	100.0218047	-4.940639823
0.066	142.79	97.058	60.007	100.0377303	-4.932683707
0.1	142.805	97.138	60.007	99.98452088	-4.991250579
0.1329998	142.805	97.23	60.007	99.99821395	-4.878266428
0.1659998	142.813	97.314	60.007	99.98786973	-4.924971684
0.1999998	142.813	97.403	60.007	100.0602048	-4.904053296
0.233	142.812	97.488	60.007	99.99136742	-4.90766633
0.266	142.8	97.569	60.007	99.96145105	-4.913188207
0.3	142.828	97.652	60.007	99.96613943	-4.962365655
0.333	142.264	97.803	60.007	100.0206884	-4.05242211
0.366	94.5424	95.859	60.007	43.11203159	9.13829697
0.3999998	97.9456	83.449	59.943	-10.13530087	12.84492754
0.4329998	123.0296	83.264	59.907	2.223659829	12.93688688
0.4659998	117.7048	85.122	59.932	-4.741761464	16.59926057
0.5	144.943	85.644	59.942	-7.638556692	25.40720493
0.533	145.543	85.801	60	-0.043171768	29.94537658
0.566	148.206	86.33	60.051	18.52000304	46.13077918
0.6	149.568	87.849	60.066	54.41446523	56.50417564
0.6329998	148.266	89.265	60.066	86.81127237	39.68892931
0.6659998	145.677	89.753	60.065	98.83065698	9.75982068
0.6999998	143.836	89.447	60.064	98.6607588	-13.50843091
0.733	143.449	89.061	60.042	98.9093921	-19.97328364
0.766	143.66	88.827	59.999	98.33398574	-19.20627857
0.8	143.983	88.841	59.986	96.43995219	-16.03903565
0.833	144.272	88.968	59.986	94.02454035	-12.08915227
0.866	144.643	89.19	59.997	91.69337062	-8.083000805
0.8999998	144.949	89.485	60.01	90.09745889	-4.064489866
0.9329998	145.096	89.793	60.018	89.45581978	-0.944607835
0.9659998	145.238	90.09	60.022	89.64313196	1.197447285
1	145.327	90.405	60.025	91.1726621	2.802785646
1.033	145.287	90.709	60.025	93.20079837	2.827712976
1.066	145.097	90.981	60.025	95.10673892	1.428089088
1.1	144.784	91.194	60.024	96.66722729	-0.7711569
100	144.784	91.194	60.024	96.66722729	-0.7711569
    30.773080000000         0.0000000000000       -0.21666495825187E-01    -90.188725185527         111.28120961229        -21.092484426752        0.33281801377790E-01     144.68579648556         144.68579507835         110.24466675639        -90.188723352915    
