!Seconds	Report_1_VA_V	Report_1_VB_V	Report_1_VC_V
0.000000000	-989.34	24996.82	-23980.25
0.001041493	-11726.9	28209.93	-16455.79
0.002082986	-20685.46	27129.81	-6417.12
0.003124479	-26494.46	21901.71	4601.81
0.004165972	-28255.31	13342.52	14912.77
0.005207465	-25722.95	2750.19	22954.59
0.006248958	-19260.44	-8268.74	27492.88
0.007290451	-9866.2	-18026.03	27846.85
0.008331944	1016.58	-25033.12	23962.09
0.009373438	11754.14	-28228.07	16419.49
0.010414931	20703.62	-27129.81	6380.82
0.011456424	26494.46	-21901.71	-4629.05
0.012497917	28246.23	-13333.46	-14940.01
0.01353941	25695.72	-2722.97	-22981.83
0.014580903	19224.14	8295.98	-27511.02
0.015622396	9829.9	18044.18	-27855.93
0.016663889	-1071.03	25042.2	-23953.02
0.017705382	-11799.52	28228.07	-16401.33
0.018746876	-20730.84	27111.66	-6362.66
0.019788369	-26503.54	21865.41	4656.27
0.020829862	-28246.23	13288.08	14958.15
0.021871355	-25677.56	2677.59	22981.83
0.022912848	-19205.98	-8332.28	27511.02
0.023954341	-9811.76	-18080.49	27837.77
0.024995834	1089.19	-25078.52	23934.87
0.026037327	11817.66	-28237.15	16365.03
0.02707882	20739.92	-27102.58	6317.28
0.028120314	26503.54	-21838.19	-4701.65
0.029161807	28228.07	-13251.76	-15003.53
0.0302033	25659.4	-2659.43	-23018.14
0.031244793	19178.76	8350.42	-27529.18
0.032286286	9775.44	18089.57	-27846.85
0.033327779	-1116.42	25069.44	-23925.79
0.034369272	-11844.9	28228.07	-16346.87
0.035410765	-20767.15	27075.36	-6290.06
0.036452258	-26521.68	21810.95	4719.81
0.037493752	-28237.15	13224.54	15012.61
0.038535245	-25668.48	2623.13	23018.14
0.039576738	-19187.82	-8377.66	27520.1
0.040618231	-9784.52	-18098.64	27828.71
0.041659724	1116.42	-25069.44	23898.55
0.042701217	11835.82	-28228.07	16328.72
0.04374271	20749	-27084.42	6280.98
0.044784203	26512.6	-21829.11	-4728.89
0.045825696	28237.15	-13242.68	-15021.69
0.04686719	25659.4	-2641.27	-23027.21
0.047908683	19178.76	8350.42	-27520.1
0.048950176	9775.44	18071.41	-27828.71
0.049991669	-1107.34	25042.2	-23907.63
0.051033162	-11826.74	28209.93	-16355.95
0.052074655	-20749	27084.42	-6308.2
0.053116148	-26512.6	21829.11	4701.65
0.054157641	-28119.16	13233.62	14976.31
0.055199135	-25051.28	2432.52	22736.76
0.056240628	-18007.88	-8722.57	26839.35
0.057282121	-8268.74	-18416.33	26766.75
0.058323614	2450.66	-25214.66	22763.99
0.059365107	12616.41	-28309.77	15593.51
0.0604066	20894.23	-27238.73	6135.75
0.061448093	25877.25	-21947.1	-4265.98
0.062489586	26621.52	-13097.47	-13932.51
0.063531079	22845.67	-1996.84	-21248.21
0.064572573	11879.392	7653.352	-19808.664
0.065614066	1532.128	14878.288	-16541.104
0.066655559	-5010.256	19670.704	-14645.92
0.067697052	-10085.864	21645.76	-11407.408
0.068738545	-14936.368	21275.44	-6019.576
0.069780038	-16533.84	16846.08	130.704
0.070821531	-15074.336	9911.592	5576.632
0.071863024	-12939.536	2824.624	10492.488
0.072904517	-9018.464	-5184.528	14493.44
0.073946011	-3296.6	-12939.536	16366.84
0.074987504	1895.184	-18073.232	16148.992
0.076028997	6397.152	-20614.664	14028.712
0.07707049	10296.432	-20476.704	9853.504
0.078111983	12075.448	-16954.992	4465.664
0.079153476	11973.784	-11283.968	-1118.24
0.080194969	11189.576	-4668.976	-6927.224
0.081236462	9461.392	2657.616	-12453.032
0.082277955	8561	10419.88	-19220.504
0.083319449	3122.336	16599.2	-19794.152
0.084360942	-2969.848	20353.256	-17267.232
0.085402435	-7253.976	20287.912	-12779.784
0.086443928	-11087.912	17964.312	-6498.808
0.087485421	-13752.784	13229.976	965.752
0.088526914	-13491.384	5707.336	8212.464
0.089568407	-11545.368	-2171.112	14072.288
0.0906099	-8575.528	-9301.648	18116.8
0.091651393	-3594.32	-15829.504	19489.176
0.092692887	2018.624	-19975.672	17833.608
0.09373438	6723.904	-20643.704	13636.608
0.094775873	10862.808	-18632.344	7355.64
0.095817366	13585.784	-13970.632	-94.4
0.096858859	13774.576	-6861.88	-7384.68
0.097900352	12177.104	1103.712	-13672.92
0.098941845	9112.856	8691.704	-18073.232
0.099983338	4298.656	15451.92	-19852.232
0.101024832	-1277.976	19990.192	-18617.824
0.102066325	-6433.464	21224.608	-14529.744
0.103107818	-10819.256	19510.952	-8299.6
0.104149311	-13709.232	14943.632	-769.696
0.105190804	-14420.824	7813.104	6985.312
0.106232297	-13723.744	-94.4	14065.024
0.10727379	-11494.544	-7646.088	19271.328
