!Seconds	Report_1_VA_V	Report_1_VB_V	Report_1_VC_V
0.000000000	-989.34	24996.82	-23980.25
0.001041493	-11726.90	28209.93	-16455.79
0.002082986	-20685.46	27129.81	-6417.12
0.003124479	-26494.46	21901.71	4601.81
0.004165972	-28255.31	13342.52	14912.77
0.005207465	-25722.95	2750.19	22954.59
0.006248958	-19260.44	-8268.74	27492.88
0.007290451	-9866.20	-18026.03	27846.85
0.008331944	1016.58	-25033.12	23962.09
0.009373438	11754.14	-28228.07	16419.49
0.010414931	20703.62	-27129.81	6380.82
0.011456424	26494.46	-21901.71	-4629.05
0.012497917	28246.23	-13333.46	-14940.01
0.013539410	25695.72	-2722.97	-22981.83
0.014580903	19224.14	8295.98	-27511.02
0.015622396	9829.90	18044.18	-27855.93
0.016663889	-1071.03	25042.20	-23953.02
0.017705382	-11799.52	28228.07	-16401.33
0.018746876	-20730.84	27111.66	-6362.66
0.019788369	-26503.54	21865.41	4656.27
0.020829862	-28246.23	13288.08	14958.15
0.021871355	-25677.56	2677.59	22981.83
0.022912848	-19205.98	-8332.28	27511.02
0.023954341	-9811.76	-18080.49	27837.77
0.024995834	1089.19	-25078.52	23934.87
0.026037327	11817.66	-28237.15	16365.03
0.027078820	20739.92	-27102.58	6317.28
0.028120314	26503.54	-21838.19	-4701.65
0.029161807	28228.07	-13251.76	-15003.53
0.030203300	25659.40	-2659.43	-23018.14
0.031244793	19178.76	8350.42	-27529.18
0.032286286	9775.44	18089.57	-27846.85
0.033327779	-1116.42	25069.44	-23925.79
0.034369272	-11844.90	28228.07	-16346.87
0.035410765	-20767.15	27075.36	-6290.06
0.036452258	-26521.68	21810.95	4719.81
0.037493752	-28237.15	13224.54	15012.61
0.038535245	-25668.48	2623.13	23018.14
0.039576738	-19187.82	-8377.66	27520.10
0.040618231	-9784.52	-18098.64	27828.71
0.041659724	1116.42	-25069.44	23898.55
0.042701217	11835.82	-28228.07	16328.72
0.043742710	20749.00	-27084.42	6280.98
0.044784203	26512.60	-21829.11	-4728.89
0.045825696	28237.15	-13242.68	-15021.69
0.046867190	25659.40	-2641.27	-23027.21
0.047908683	19178.76	8350.42	-27520.10
0.048950176	9775.44	18071.41	-27828.71
0.049991669	-1107.34	25042.20	-23907.63
0.051033162	-11826.74	28209.93	-16355.95
0.052074655	-20749.00	27084.42	-6308.20
0.053116148	-26512.60	21829.11	4701.65
0.054157641	-28119.16	13233.62	14976.31
0.055199135	-25051.28	2432.52	22736.76
0.056240628	-18007.88	-8722.57	26839.35
0.057282121	-8268.74	-18416.33	26766.75
